Theme,Count
"CRISISLEX_T04_INFRASTRUCTURE,4728",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,5034",2
"PROTEST,239",2
"PROTEST,714",2
"PROTEST,3458",2
"PROTEST,4853",2
"NATURAL_DISASTER_SEVERE_COLD,1116",2
"PROTEST,341",2
"PROTEST,1580",2
"CRISISLEX_O01_WEATHER,11",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,84",2
"PROTEST,2188",2
"PROTEST,478",2
"CRISISLEX_O01_WEATHER,116",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,1423",2
"PROTEST,1232",2
"CRISISLEX_O01_WEATHER,193",2
"CRISISLEX_O01_WEATHER,2928",2
"NATURAL_DISASTER_HEATWAVE,2524",2
"NATURAL_DISASTER_HEATWAVE,3402",2
"CRISISLEX_O01_WEATHER,945",2
"PROTEST,496",2
"PROTEST,1706",2
"PROTEST,470",2
"PROTEST,1234",2
"PROTEST,49",2
"WB_667_ICT_INFRASTRUCTURE,5557",2
"WB_669_SOFTWARE_INFRASTRUCTURE,5557",2
"CRISISLEX_O01_WEATHER,283",2
"PROTEST,484",2
"CRISISLEX_O01_WEATHER,45",2
"CRISISLEX_O01_WEATHER,181",2
"WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION,11620",2
"PROTEST,6810",2
"CRISISLEX_O01_WEATHER,311",2
"CRISISLEX_O01_WEATHER,587",2
"CRISISLEX_O01_WEATHER,955",2
"CRISISLEX_O01_WEATHER,1144",2
"CRISISLEX_O01_WEATHER,1225",2
"CRISISLEX_O01_WEATHER,1313",2
"CRISISLEX_O01_WEATHER,1366",2
"CRISISLEX_O01_WEATHER,1426",2
"CRISISLEX_O01_WEATHER,2233",2
"CRISISLEX_O01_WEATHER,2666",2
"CRISISLEX_O01_WEATHER,2762",2
"CRISISLEX_O01_WEATHER,2820",2
"CRISISLEX_O01_WEATHER,2870",2
"CRISISLEX_O01_WEATHER,2977",2
"CRISISLEX_O01_WEATHER,3034",2
"CRISISLEX_O01_WEATHER,3086",2
"CRISISLEX_O01_WEATHER,3638",2
"CRISISLEX_O01_WEATHER,4023",2
"CRISISLEX_O01_WEATHER,4119",2
"CRISISLEX_O01_WEATHER,4177",2
"CRISISLEX_O01_WEATHER,4229",2
"CRISISLEX_O01_WEATHER,4286",2
"CRISISLEX_O01_WEATHER,4334",2
"CRISISLEX_O01_WEATHER,4391",2
"CRISISLEX_O01_WEATHER,4443",2
"CRISISLEX_O01_WEATHER,5542",2
"CRISISLEX_O01_WEATHER,5638",2
"CRISISLEX_O01_WEATHER,5696",2
"CRISISLEX_O01_WEATHER,5746",2
"CRISISLEX_O01_WEATHER,5805",2
"CRISISLEX_O01_WEATHER,5855",2
"CRISISLEX_O01_WEATHER,5912",2
"CRISISLEX_O01_WEATHER,5964",2
"CRISISLEX_O01_WEATHER,6101",2
"CRISISLEX_O01_WEATHER,7051",2
"CRISISLEX_O01_WEATHER,7104",2
"CRISISLEX_O01_WEATHER,7162",2
"CRISISLEX_O01_WEATHER,7212",2
"CRISISLEX_O01_WEATHER,7271",2
